func_file,event_file,signal_file,info_file,stimulation,configuration,stim_site,stimulus
EPI_NATUREX81P1.nii,CM033zJ1_081.csv,CM033zJ1_081.h5,CM033zJ1_081_mri_info.csv,"(4x2)x64, (blank x stim) x repeat","100Hz, 200us pulse",,1500uA
EPI_NATUREX82P1.nii,CM033zJ1_082.csv,CM033zJ1_082.h5,CM033zJ1_082_mri_info.csv,"(4x2)x64, (blank x stim) x repeat","100Hz, 200us pulse",,1500uA
